min treshold is :0.0050

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,4 	0,4 	
2	0,25 	0,25 	
3	0,5 	0,5 	
4	0,4 	0,4 	
5	0,4 	0,4 	
6	0,14 	0,14 	
7	0,55 	0,45 	
8	0,67 	0,67 	
9	0,18 	0,27 	
10	0,5 	0,5 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,33 	0,33 	
2	0,33 	0,33 	
3	0,43 	0,43 	
4	0,4 	0,4 	
5	0,36 	0,36 	
6	0,11 	0,11 	
7	0,37 	0,32 	
8	0,75 	0,75 	
9	0,22 	0,22 	
10	0,47 	0,47 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,4 	0,4 	
2	0,5 	0,5 	
3	0,75 	0,75 	
4	0,4 	0,4 	
5	0,5 	0,5 	
6	0,14 	0,14 	
7	0,64 	0,55 	
8	1 	1 	
9	0,36 	0,36 	
10	0,67 	0,67 	

min treshold is :0.01

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,4 	0,4 	
2	0,25 	0,25 	
3	0,5 	0,5 	
4	0,4 	0,4 	
5	0,4 	0,4 	
6	0,14 	0,14 	
7	0,55 	0,45 	
8	0,67 	0,67 	
9	0,18 	0,45 	
10	0,5 	0,5 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,33 	0,33 	
2	0,33 	0,33 	
3	0,43 	0,43 	
4	0,4 	0,4 	
5	0,36 	0,29 	
6	0,11 	0,11 	
7	0,37 	0,32 	
8	0,75 	0,75 	
9	0,22 	0,39 	
10	0,47 	0,41 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,4 	0,4 	
2	0,5 	0,5 	
3	0,75 	0,75 	
4	0,4 	0,4 	
5	0,5 	0,4 	
6	0,14 	0,14 	
7	0,64 	0,55 	
8	1 	1 	
9	0,36 	0,64 	
10	0,67 	0,58 	

min treshold is :0.015

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,4 	0,4 	
2	0,25 	0,25 	
3	0,5 	0,5 	
4	0,4 	0,4 	
5	0,4 	0,4 	
6	0,14 	0,14 	
7	0,55 	0,45 	
8	0,67 	0,67 	
9	0,18 	0,45 	
10	0,5 	0,5 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,33 	0,33 	
2	0,33 	0,33 	
