18:46:54 : 
id	LexicalChainsSummarizer-OFF	WeightsBasedSummarizer-TFIDF	LocationBasedSummarizer-FIRST_IN_PARAGRAPHS	LocationBasedSummarizer-FIRST	RandomSummarizer	WeightsBasedSummarizer-BM_25	
1	0,4 	0,6 	1 	0,8 	0,6 	0,6 	
2	0,5 	1 	0,75 	0,5 	0,25 	1 	
3	0,5 	0,75 	0,75 	0,75 	0,75 	0,75 	
4	0,6 	0,6 	0,8 	0,8 	0,4 	0,8 	
5	0,7 	0,6 	0,8 	0,5 	0,5 	0,5 	
6	0,71 	0,43 	0,71 	0,71 	0,71 	0,71 	
7	0,91 	0,73 	0,55 	0,27 	0,55 	0,73 	
8	0,33 	1 	1 	1 	0,33 	1 	
9	0,45 	0,45 	0,73 	0,64 	0,45 	0,64 	
10	0,33 	0,5 	0,5 	0,42 	0,58 	0,42 	
