
Relevant set - AVERAGE filtered

TODO: Adam, napisz dokladniej czym sa te wyniki i jak zostaly policzone (z czego),
bo inaczej zapomnisz... to tez sie przyda czytajacym, zeby wiedzieli na co patrza
i jak interpretowac wynik.

measure :COVERAGE
id	TFIDF	Lex	Loc	FIRST	Rand	BM_25	
1	0,2 	0,6 	0,8 	0,6 	0,27 	0,2 	
2	0,25 	0 	0,5 	0,25 	0,18 	0,25 	
3	0,25 	0,5 	0,75 	0,5 	0,22 	0,25 	
4	0,4 	0,2 	0,6 	0,6 	0,23 	0,6 	
5	0,4 	0,5 	0,5 	0,3 	0,2 	0,3 	
6	0,14 	0,29 	0,43 	0,43 	0,27 	0,43 	
7	0,45 	0,55 	0,36 	0 	0,22 	0,36 	
8	0,33 	0,67 	0,33 	0,33 	0,31 	0,33 	
9	0,36 	0,36 	0,64 	0,45 	0,21 	0,45 	
10	0,5 	0,42 	0,42 	0,33 	0,19 	0,33 	

measure :RECALL
id	TFIDF	Lex	Loc	FIRST	Rand	BM_25	
1	0,17 	0,5 	0,67 	0,5 	0,25 	0,17 	
2	0,5 	0 	0,33 	0,17 	0,21 	0,5 	
3	0,43 	0,57 	0,43 	0,43 	0,22 	0,43 	
4	0,4 	0,2 	0,6 	0,6 	0,23 	0,6 	
5	0,29 	0,43 	0,57 	0,29 	0,2 	0,29 	
6	0,11 	0,22 	0,44 	0,44 	0,25 	0,44 	
7	0,32 	0,37 	0,32 	0,32 	0,23 	0,32 	
8	0,5 	0,75 	0,5 	0,5 	0,28 	0,5 	
9	0,33 	0,28 	0,39 	0,39 	0,21 	0,39 	
10	0,41 	0,41 	0,29 	0,24 	0,19 	0,24 	

measure :PRECISION
id	TFIDF	Lex	Loc	FIRST	Rand	BM_25	
1	0,2 	0,6 	0,8 	0,6 	0,3 	0,2 	
2	0,75 	0 	0,5 	0,25 	0,31 	0,75 	
3	0,75 	1 	0,75 	0,75 	0,38 	0,75 	
4	0,4 	0,2 	0,6 	0,6 	0,23 	0,6 	
5	0,4 	0,6 	0,8 	0,4 	0,28 	0,4 	
6	0,14 	0,29 	0,57 	0,57 	0,32 	0,57 	
7	0,55 	0,64 	0,55 	0,55 	0,39 	0,55 	
8	0,67 	1 	0,67 	0,67 	0,37 	0,67 	
9	0,55 	0,45 	0,64 	0,64 	0,35 	0,64 	
10	0,58 	0,58 	0,42 	0,33 	0,26 	0,33 	

