id: 1
title: Dobre regulacje, mało spółek
position	times	paragraph
0	19	0
1	12	0
2	6	0
3	15	1
4	0	1
5	3	1
6	3	1
7	18	2
8	4	2
9	4	2
10	0	2
11	2	3
12	5	3
13	6	3
14	0	3
15	1	3
16	12	4
17	4	4
18	2	4
19	3	5
20	6	5
21	10	5

id: 2
title: Dziecko i potwór
position	times	paragraph
0	28	0
1	8	0
2	2	1
3	2	1
4	2	2
5	1	2
6	0	2
7	10	2
8	9	2
9	4	2
10	1	2
11	11	2
12	19	3
13	15	3
14	0	3
15	0	3


id: 3
title: Zjazd "S" rolników indywidualnych w Zgierzu
position	times	paragraph
0	26	0
1	10	0
2	1	0
3	15	1
4	14	1
5	2	1
6	7	1
7	4	1
8	8	1
9	3	1
10	0	1
11	0	1
12	10	2
13	2	2
14	2	3
15	8	3

id: 4
title: Rząd Ukrainy bez "pomarańczowych"
position	times	paragraph
0	27	0
1	2	0
2	21	1
3	4	2
4	17	3
5	0	3
6	0	3
7	1	4
8	16	4
9	2	5
10	3	5
11	8	6
12	0	6
13	1	6
14	19	7
15	3	7
16	6	8
17	6	8
18	3	9
19	1	9


id: 5
title: Ségolene Royal kandydatem socjalistów w wyborach prezydenckich
position	times	paragraph
0	11	0	
1	21	0
2	6	0
3	15	1
4	0	1
5	2	1
6	9	2
7	4	3
8	4	3
9	0	3
10	1	3
11	2	4
12	2	4
13	1	4
14	0	4
15	0	4
16	10	5
17	6	5
18	1	5
19	6	5
20	0	5
21	19	6
22	11	7
23	7	7
24	16	8
25	9	9
26	4	9
27	15	9
28	4	10
29	21	11
30	1	11
31	10	12
32	7	12
33	3	12
34	3	12
35	7	13
36	6	13
37	2	14
38	4	14
39	18	15
40	0	15
41	0	15
42	17	16
43	5	16


id: 6
title: Były dyktator Urugwaju Juan Maria Bordaberry poszedł za kraty
position	times	paragraph
0	24	0
1	20	0
2	11	1
3	2	1
4	3	1
5	28	2
6	3	2
7	1	3
8	0	3
9	6	3
10	1	4
11	1	4
12	2	4
13	19	5
14	0	5
15	20	5
16	1	6
17	5	6
18	5	6
19	3	7
20	6	7
21	13	8
22	2	8
23	14	9
24	0	9
25	0	9
26	2	10
27	1	10
28	10	11

id: 7

paragraphs offsets:
0	0
1	3
2	7
3	12
4	13
5	14
6	16
7	20
8	23
9	26
10	29
11	32
12	36
13	37
14	38
15	41

title: Albo młodość, albo rak
position	times	para
0	7	0	
1	9	0
2	8	0
3	6	1
4	0	1
5	9	1
6	2	1
7	9	2
8	2	2
9	8	2
10	9	2
11	13	2
12	9	3
13	0	4
14	16	5
15	2	5
16	18	6
17	3	6
18	10	6
19	3	6
20	5	7
21	2	7
22	2	7
23	7	8
24	5	8
25	16	8
26	10	9
27	8	9
28	3	9
29	17	10
30	7	10
31	1	10
32	2	11
33	0	11
34	0	11
35	3	11
36	17	12
37	12	13
38	2	14
39	0	14
40	4	14
41	12	15
42	1	15
43	1	15
44	0	15
45	0	15
46	3	15
47	2	15
48	12	15


id: 8
title: Włoska telewizja wykryła narkotyki u deputowanych
position	times	paragraph
0	24	0
1	10	1
2	3	2
3	7	3
4	23	4
5	1	5
6	5	5
7	0	5
8	1	6
9	0	6
10	0	6
11	0	6
12	11	7
13	2	7


id: 9
title: Zapomniany ojciec kina
position	times	para
0	2	0
1	13	0
2	19	1
3	18	1
4	10	1
5	5	1
6	15	2
7	9	2
8	11	3
9	5	3
10	0	3
11	6	4
12	2	4
13	23	5
14	1	6
15	0	6
16	0	6
17	19	7
18	10	7
19	5	7
20	2	7
21	12	8
22	0	8
23	29	9
24	2	9
25	9	9
26	1	9
27	5	10
28	5	10
29	1	10
30	8	11
31	9	12
32	0	12
33	0	12
34	0	12
35	2	13
36	1	13
37	6	13
38	19	14
39	2	15
40	2	15
41	3	15
42	2	16
43	0	16
44	18	16
45	3	17
46	8	17
47	2	17
48	2	17
49	4	18
50	0	19
51	0	19
52	0	19
53	0	19



id: 10
title: Internauci budują samochód zgodnie z filozofią open-source
position	times	para
0	21	0
1	0	1
2	0	1
3	0	1
4	2	2
5	0	2
6	25	2
7	17	3
8	7	3
9	2	3
10	26	4
11	0	4
12	4	4
13	18	5
14	18	5
15	5	5
16	2	5
17	5	6
18	2	6
19	3	6
20	21	7
21	9	7
22	16	7
23	0	8
24	12	8
25	26	8
26	13	8
27	0	9
28	0	9
29	3	9
30	1	9
31	12	9
32	12	9
33	1	9
34	0	10
35	0	10
36	1	10
37	6	11
38	3	11
39	0	11
40	2	11
41	4	11
42	0	11
43	12	12
44	12	12
45	9	13
46	3	13
47	0	13
48	0	13
49	1	13
50	4	13
51	3	14
52	8	14
53	0	14
54	7	15
55	2	15
